session_id,achievable_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.03294,4.27078,0.182211,6,0
2,1.4039,4.09673,0.188621,6,0
3,1.27297,4.29018,0.218681,7,0
4,1.22794,4.09673,0.188621,6,0
5,1.13144,4.52156,0.207973,7,0
6,1.20325,4.29018,0.218681,7,0
7,1.04451,4.29127,0.216083,7,0
8,1.06047,4.38533,0.215429,7,0
9,1.08772,4.21636,0.198361,6,0
10,1.18367,4.00909,0.166893,5,0
11,1.33065,4.17927,0.197947,6,0
12,1.72286,4.13382,0.189127,6,0
13,1.29146,4.38533,0.215429,7,0
14,1.28354,4.40582,0.245543,8,0
15,1.15254,4.17927,0.197947,6,0
16,1.04639,4.42642,0.210965,7,0
17,1.08732,4.38473,0.226406,7,0
18,1.04737,4.13673,0.186797,6,0
19,1.00752,4.3458,0.143587,5,0
20,1.11135,4.17091,0.189625,6,0
21,1.19084,4.13091,0.191461,6,0
22,1.19949,4.09382,0.190975,6,0
23,1.03403,4.23369,0.18166,6,0
24,1.35035,4.42642,0.210965,7,0
25,1.18287,4.38642,0.212889,7,0
26,1.18157,4.29018,0.218681,7,0
27,1.09787,4.38473,0.226406,7,0
28,1.25648,4.13382,0.189127,6,0
29,1.05897,4.13382,0.189127,6,0
30,1.37971,4.13673,0.186797,6,0
31,1.28495,4.34473,0.22849,7,0
32,1.27132,4.17091,0.189625,6,0
33,1.19093,4.27078,0.182211,6,0
34,1.2376,4.36484,0.179534,6,0
35,1.17784,4.17091,0.189625,6,0
36,1.01746,4.55018,0.254535,8,0
37,1.2973,4.29018,0.218681,7,0
38,1.04283,4.38642,0.212889,7,0
39,1.0266,4.42642,0.210965,7,0
40,1.07416,4.09382,0.190975,6,0
41,1.03768,3.94691,0.154782,5,0
42,1.08491,4.12545,0.171,5,0
43,1.06964,3.79418,0.120759,4,0
44,1.41092,4.32909,0.219236,7,0
45,1.04082,4.42642,0.210965,7,0
46,1.06427,4.23369,0.18166,6,0
47,1.14177,4.23078,0.183933,6,0
48,1,4.3458,0.143587,5,0
49,1.1197,4.26787,0.184465,6,0
50,1.14063,4.29018,0.218681,7,0
51,1.15167,4.09382,0.190975,6,0
52,1.40842,4.28909,0.22128,7,0
53,1.11026,4.54205,0.239859,8,0
54,1.10769,4.18218,0.195635,6,0
55,1.10465,4.13673,0.186797,6,0
56,1.1548,3.94691,0.154782,5,0
57,1.06959,3.98218,0.155237,5,0
58,1.258,3.93745,0.158847,5,0
59,1.13317,3.93745,0.158847,5,0
60,1.34577,4.27078,0.182211,6,0
61,1.14691,4.20811,0.148976,5,0
62,1.21307,3.94691,0.154782,5,0
63,1.04167,4.38364,0.228951,7,0
64,1.24029,4.26473,0.204638,6,0
65,1.1983,4.07987,0.150807,5,0
66,1.43988,4.18218,0.195635,6,0
67,1.13429,4.23369,0.18166,6,0
68,1.04261,3.94691,0.154782,5,0
69,1.35882,4.09964,0.186269,6,0
70,1.17056,3.94218,0.156812,5,0
71,1.04555,4.51018,0.256793,8,0
72,1.34278,4.21636,0.198361,6,0
73,1.00688,4.29127,0.216083,7,0
74,1.07292,4.23369,0.18166,6,0
75,1.32321,4.23078,0.183933,6,0
76,1.34129,4.23078,0.183933,6,0
77,1.21849,4.13091,0.191461,6,0
78,1.36739,4.07987,0.150807,5,0
79,1.12979,4.13673,0.186797,6,0
80,1.09255,3.94218,0.156812,5,0
81,1.26241,4.29018,0.218681,7,0
82,1.13959,4.09382,0.190975,6,0
83,1.03333,4.01855,0.162881,5,0
84,1.20323,4.29018,0.218681,7,0
85,1.43817,3.94218,0.156812,5,0
86,1.09131,4.34473,0.22849,7,0
87,1.23729,3.97273,0.159268,5,0
88,1.02326,4.48096,0.220569,7,0
89,1.03415,4.09673,0.188621,6,0
90,1.07653,4.55018,0.254535,8,0
91,1.21498,4.36484,0.179534,6,1
92,1,4.09673,0.188621,6,0
93,1.40379,4.42533,0.213482,7,0
94,1.11399,4.31333,0.193059,6,0
95,1.13564,4.38364,0.228951,7,0
96,1,4.58205,0.237766,8,0
97,1.05238,4.38642,0.212889,7,0
98,1.38544,4.21636,0.198361,6,0
99,1.20968,4.38642,0.212889,7,0
100,1.37469,4.25018,0.220739,7,0
101,1.01961,4.64569,0.248207,8,0
102,1.07724,4.09382,0.190975,6,0
103,1.09726,4.54205,0.239859,8,0
104,1.03439,4.18218,0.195635,6,0
105,1.0438,4.40582,0.245543,8,0
106,1.22197,4.38533,0.215429,7,0
107,1.13144,4.01273,0.15768,5,0
108,1.00836,4.42642,0.210965,7,0
109,1.16373,4.17927,0.197947,6,0
110,1.36927,4.29018,0.218681,7,0
111,1.04942,4.17382,0.187315,6,0
112,1.03014,4.58205,0.237766,8,0
113,1,4.31624,0.190823,6,0
114,1.12354,4.09673,0.188621,6,0
115,1.0782,4.44655,0.246156,8,0
116,1.2399,4.13382,0.189127,6,0
117,1.24932,4.44655,0.246156,8,0
118,1.0557,4.26787,0.184465,6,0
119,1.09596,4.13091,0.191461,6,0
120,1.21608,3.93745,0.158847,5,0
121,1.34072,4.54205,0.239859,8,0
122,1.09777,4.13673,0.186797,6,0
123,1.04113,4.42364,0.22688,7,0
124,1.5026,3.93745,0.158847,5,0
125,1.07463,4.09964,0.186269,6,0
126,1.66484,4.09673,0.188621,6,0
127,1.19598,4.44655,0.246156,8,0
128,1.45758,4.09673,0.188621,6,0
129,1.09067,4.26473,0.204638,6,0
130,1.13223,3.93745,0.158847,5,0
131,1.21671,4.21284,0.147083,5,0
132,1.04545,4.17927,0.197947,6,0
133,1.08273,4.13091,0.191461,6,0
134,1.04369,4.17382,0.187315,6,0
135,1.0917,4.21927,0.19607,6,0
136,1.15187,4.29018,0.218681,7,0
137,1.04902,4.38642,0.212889,7,0
138,1.10174,4.44655,0.246156,8,0
139,1.14014,4.28909,0.22128,7,0
140,1.19417,4.51018,0.256793,8,0
141,1.11386,4.42533,0.213482,7,0
142,1.43344,3.79418,0.120759,4,0
143,1.10769,3.94691,0.154782,5,0
144,1.1201,4.13091,0.191461,6,0
145,1.06378,4.39878,0.199642,6,0
146,1.19175,4.17927,0.197947,6,0
147,1.19559,3.94691,0.154782,5,0
148,1.41951,4.17927,0.197947,6,0
149,1.18599,3.79418,0.120759,4,0
150,1.10306,4.38642,0.212889,7,0
151,1.157,4.38533,0.215429,7,0
152,1.27123,4.34473,0.22849,7,0
153,1.15939,4.34473,0.22849,7,0
154,1.28065,4.27078,0.182211,6,0
155,1.20263,4.09673,0.188621,6,0
156,1.23502,4.33018,0.216661,7,0
157,1.25706,4.18218,0.195635,6,0
158,1.25061,3.94218,0.156812,5,0
159,1.11458,4.45029,0.1863,6,0
160,1.10355,3.79418,0.120759,4,0
161,1.40196,4.13382,0.189127,6,0
162,1.0619,3.93745,0.158847,5,0
163,1.00542,4.40484,0.177904,6,0
164,1.06297,4.29018,0.218681,7,0
165,1.01302,4.51018,0.256793,8,0
166,1.14922,4.09382,0.190975,6,0
167,1.22372,4.39878,0.199642,6,0
168,1.2766,4.23078,0.183933,6,0
169,1.13408,4.18218,0.195635,6,0
170,1.16129,4.42533,0.213482,7,0
171,1.059,4.21091,0.187824,6,0
172,1.31842,3.94218,0.156812,5,0
173,1.08673,4.23078,0.183933,6,0
174,1.06075,4.25127,0.218116,7,0
175,1.19549,4.31624,0.190823,6,0
176,1.09235,4.29127,0.216083,7,0
177,1.27568,3.93745,0.158847,5,0
178,1.27295,4.38642,0.212889,7,0
179,1.05823,4.09673,0.188621,6,0
180,1.27949,4.25636,0.196497,6,0
181,1.23824,4.38751,0.210349,7,0
182,1.13757,4.51018,0.256793,8,0
183,1.24419,4.13673,0.186797,6,0
184,1.07232,4.29018,0.218681,7,0
185,1.14356,4.09673,0.188621,6,0
186,1.05896,4.22787,0.18621,6,0
187,1.0508,4.15042,0.151748,5,0
188,1.19212,4.13091,0.191461,6,0
189,1.23272,4.13382,0.189127,6,0
190,1.26559,4.17636,0.200261,6,0
191,1.4282,4.44655,0.246156,8,0
192,1.12921,4.38473,0.226406,7,0
193,1.03815,4.21284,0.147083,5,0
194,1.09456,4.09091,0.193333,6,0
195,1.26536,4.23078,0.183933,6,0
196,1,4.27078,0.182211,6,0
197,1.24611,3.93745,0.158847,5,0
198,1.03778,4.38473,0.226406,7,0
199,1.23677,4.58205,0.237766,8,0
200,1.05444,4.13673,0.186797,6,0
201,1.22222,4.09382,0.190975,6,0
202,1.24814,4.42642,0.210965,7,1
203,1.12577,4.13673,0.186797,6,0
204,1.05211,4.26787,0.184465,6,0
205,1.15014,4.54205,0.239859,8,0
206,1.30905,4.29018,0.218681,7,0
207,1.24658,4.38642,0.212889,7,0
